Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
Outer Bay,L.OB15,S.OB15,2001.OB15,2001,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Outer Bay,L.OB15,S.OB15,2001.OB15,2001,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.SW01,S.SW01,2001.SW01,2002,0,Tributyltin,688-73-3,19.19,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.SW01,S.SW01,2001.SW01,2002,0,Dibutyltin,1002-53-5,12.93,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.SW01,S.SW01,2001.SW01,2002,0,Monobutyltin,78763-54-9,4.14,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.SW02F,S.SW02F,2001.SW02,2002,0,Tributyltin,688-73-3,12.93,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.SW02F,S.SW02F,2001.SW02,2002,0,Dibutyltin,1002-53-5,9.93,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.SW02F,S.SW02F,2001.SW02,2002,0,Monobutyltin,78763-54-9,7.46,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.SW03,S.SW03,2001.SW03,2002,0,Tributyltin,688-73-3,9.57,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
Inner Bay,L.SW03,S.SW03,2001.SW03,2002,0,Dibutyltin,1002-53-5,8.73,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
